#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,0,0.164
1,1,0.928
1,2,2.062
1,3,3.188
1,4,4.548
1,5,5.690
1,6,5.842
1,7,6.004
1,8,6.114
1,9,6.230
1,10,6.334
1,11,6.926
1,12,7.492
1,13,7.598
1,14,7.624
1,15,7.646
1,16,7.898
1,17,8.194
1,18,8.762
1,19,9.886
1,20,10.300
1,21,10.604
1,22,10.812
1,23,11.026
1,24,11.748
1,25,12.226
1,26,13.238
1,27,13.588
1,28,14.526
1,29,15.012
1,30,15.458
1,31,16.804
1,32,17.094
1,33,17.362
1,34,17.576
1,35,17.716
1,36,17.888
1,37,18.054
1,38,18.198
1,39,18.308
1,40,18.444
1,41,18.522
1,42,18.904
1,43,19.316
1,44,19.700
CHECKPOINT,20.000
1,45,20.536
1,46,21.382
1,47,21.958
1,48,22.358
1,49,23.664
1,50,24.036
1,51,24.456
1,52,24.920
1,53,25.344
1,54,25.660
1,55,26.002
1,56,26.352
1,57,26.610
1,58,26.842
1,59,27.252
1,60,27.698
1,61,28.142
1,62,29.026
1,63,29.788
1,64,30.394
1,65,30.726
1,66,31.136
1,67,31.748
1,68,32.348
1,69,33.068
1,70,33.566
1,71,33.924
1,72,34.324
1,73,34.904
1,74,35.188
1,75,35.510
1,76,35.856
1,77,36.076
1,78,36.750
1,79,36.986
1,80,37.492
1,81,38.018
1,82,38.744
1,83,39.426
CHECKPOINT,40.000
1,84,41.320
2,85,43.400
1,86,45.150
1,87,46.012
1,88,46.768
1,89,47.580
1,90,48.520
1,91,48.788
1,92,49.004
1,93,49.346
1,94,50.654
1,95,51.346
1,96,51.828
1,97,52.600
1,98,53.244
1,99,53.546
1,100,53.854
1,101,53.992
1,102,54.132
1,103,54.354
1,104,54.596
1,105,54.760
1,106,54.986
1,107,55.168
1,108,55.256
1,109,55.332
1,110,55.410
1,111,55.492
1,112,55.582
1,113,55.676
1,114,55.868
1,115,56.060
1,116,56.220
1,117,56.386
1,118,56.456
1,119,56.734
1,120,57.130
1,121,57.384
1,122,57.700
1,123,58.042
1,124,58.320
1,125,58.606
1,126,58.942
1,127,59.368
1,128,59.680
CHECKPOINT,60.000
1,129,60.458
1,130,60.602
1,131,60.844
1,132,61.278
1,133,61.700
1,134,61.832
1,135,62.310
1,136,62.756
1,137,63.140
1,138,63.546
1,139,64.286
1,140,64.990
1,141,65.626
1,142,66.166
1,143,66.742
1,144,66.964
1,145,67.252
1,146,67.832
1,147,67.978
1,148,68.162
1,149,68.236
1,150,68.324
1,151,68.398
1,152,68.488
1,153,68.548
1,154,68.616
1,155,68.694
1,156,68.778
1,157,68.852
1,158,68.934
1,159,69.012
1,160,69.924
1,161,70.366
1,162,70.774
1,163,71.436
1,164,71.946
1,165,72.648
1,166,72.866
1,167,73.178
1,168,73.572
1,169,73.986
1,170,74.296
1,171,74.604
1,172,74.692
1,173,74.702
1,174,74.712
1,175,74.724
1,176,74.736
1,177,74.888
1,178,74.978
1,179,75.426
1,180,75.798
1,181,76.596
1,182,76.904
1,183,77.224
1,184,77.676
1,185,78.146
1,186,78.468
1,187,78.856
1,188,79.234
1,189,79.292
1,190,79.352
1,191,79.392
1,192,79.484
1,193,79.514
1,194,79.682
1,195,79.864
CHECKPOINT,80.000
1,196,80.068
1,197,80.598
1,198,81.028
1,199,81.372
1,200,81.826
1,201,82.230
1,202,82.704
1,203,83.142
1,204,83.740
1,205,84.498
1,206,85.028
1,207,85.736
1,208,85.958
1,209,86.254
1,210,87.322
1,211,88.008
1,212,89.100
1,213,89.568
1,214,89.812
1,215,90.032
1,216,90.380
1,217,90.732
1,218,91.188
1,219,91.196
1,220,91.254
1,221,91.286
1,222,91.962
1,223,92.150
1,224,92.758
1,225,93.288
1,226,93.516
1,227,95.192
1,228,95.690
1,229,95.998
1,230,96.534
1,231,96.848
1,232,96.996
1,233,97.436
1,234,97.828
1,235,98.036
1,236,98.226
1,237,98.676
1,238,98.996
1,239,99.308
1,240,99.538
1,241,99.718
1,242,99.906
CHECKPOINT,100.000
1,243,100.110
1,244,100.276
1,245,100.440
1,246,100.572
1,247,100.680
1,248,100.878
1,249,101.108
1,250,101.392
1,251,101.864
1,252,102.598
1,253,102.870
1,254,103.846
1,255,104.618
1,256,105.234
1,257,105.954
1,258,107.390
1,259,108.484
1,260,111.540
1,261,112.516
1,262,113.124
1,263,113.472
1,264,114.874
2,265,115.762
2,266,116.100
2,267,116.320
2,268,116.578
2,269,116.796
1,270,117.838
1,271,118.464
1,272,119.044
1,273,119.368
1,274,119.510
CHECKPOINT,120.000
1,275,120.298
1,276,120.574
1,277,124.336
1,278,124.730
1,279,125.092
1,280,125.342
1,281,125.692
1,282,126.240
1,283,126.342
1,284,126.464
1,285,126.606
1,286,126.722
1,287,127.488
1,288,127.870
1,289,128.316
1,290,128.758
1,291,129.744
1,292,130.122
2,293,131.508
1,294,133.176
1,295,134.750
1,296,135.156
1,297,135.506
1,298,136.652
1,299,137.168
1,300,137.688
1,301,138.818
1,302,139.382
1,303,139.896
CHECKPOINT,140.000
1,304,140.314
1,305,140.654
1,306,141.784
1,307,142.812
1,308,144.474
1,309,144.952
1,310,145.540
1,311,145.704
1,312,145.738
1,313,145.760
1,314,145.782
1,315,145.802
1,316,145.822
1,317,145.844
1,318,145.868
1,319,145.892
1,320,145.914
1,321,145.936
1,322,145.956
1,323,146.102
1,324,146.250
1,325,146.312
1,326,147.000
1,327,147.582
1,328,148.004
1,329,148.596
1,330,148.778
1,331,148.970
1,332,149.626
1,333,150.158
1,334,151.352
1,335,151.938
1,336,152.114
1,337,152.414
1,338,152.754
1,339,153.298
1,340,153.634
1,341,154.228
1,342,154.680
1,343,155.614
1,344,155.976
1,345,156.290
1,346,156.416
1,347,156.720
1,348,156.952
1,349,157.166
1,350,157.248
1,351,157.332
1,352,157.380
1,353,157.434
1,354,157.572
1,355,157.718
1,356,157.780
1,357,158.080
1,358,158.660
1,359,159.194
1,360,159.692
CHECKPOINT,160.000
1,361,160.234
1,362,160.578
1,363,160.692
1,364,161.108
1,365,161.510
1,366,162.584
1,367,164.058
1,368,164.848
1,369,165.500
1,370,166.192
1,371,166.414
1,372,166.666
1,373,166.856
1,374,167.210
1,375,168.188
1,376,168.590
1,377,169.016
1,378,169.728
1,379,170.884
1,380,171.758
1,381,174.762
1,382,176.250
CHECKPOINT,180.000
1,383,180.264
2,384,186.568
