#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
2,0,0.478
1,1,0.894
2,2,1.274
1,3,2.186
1,4,2.698
1,5,3.094
2,6,4.640
2,7,5.048
1,8,6.458
1,9,9.002
1,10,9.968
2,11,10.766
1,12,12.654
2,13,17.392
2,14,17.614
CHECKPOINT,20.000
2,15,20.064
2,16,20.942
2,17,22.350
2,18,24.570
2,19,27.296
2,20,27.554
2,21,27.700
2,22,27.858
1,23,33.636
1,24,36.110
1,25,36.960
1,26,36.982
1,27,37.006
1,28,37.030
1,29,37.062
1,30,37.094
1,31,37.132
1,32,37.166
1,33,37.198
1,34,37.234
1,35,37.266
1,36,37.304
1,37,37.368
1,38,37.460
1,39,37.542
1,40,37.996
1,41,38.846
1,42,39.826
CHECKPOINT,40.000
1,43,45.698
1,44,46.872
1,45,49.006
1,46,49.684
1,47,50.406
1,48,51.910
1,49,54.252
1,50,54.688
1,51,54.818
1,52,54.968
1,53,55.702
1,54,56.432
1,55,56.924
1,56,57.444
1,57,57.920
1,58,58.302
1,59,58.886
1,60,59.294
1,61,59.846
CHECKPOINT,60.000
1,62,60.296
1,63,61.012
1,64,61.156
1,65,61.366
1,66,61.762
1,67,62.168
1,68,62.378
1,69,62.552
1,70,62.682
1,71,62.798
1,72,63.562
1,73,63.934
1,74,64.388
1,75,64.942
1,76,65.416
1,77,66.028
1,78,66.472
1,79,67.188
1,80,67.522
1,81,67.858
1,82,69.238
1,83,71.788
1,84,72.650
1,85,73.486
1,86,74.198
1,87,75.478
1,88,75.662
1,89,76.036
1,90,76.412
1,91,77.076
1,92,77.296
1,93,77.526
1,94,77.754
1,95,77.946
1,96,78.600
1,97,79.122
1,98,79.650
CHECKPOINT,80.000
1,99,80.284
1,100,80.866
1,101,81.294
1,102,82.748
1,103,82.850
1,104,82.944
1,105,84.366
1,106,84.646
1,107,84.852
1,108,85.398
1,109,85.838
1,110,86.488
1,111,86.702
1,112,86.926
1,113,87.158
1,114,87.334
1,115,87.536
1,116,87.706
1,117,87.876
1,118,88.030
1,119,88.202
1,120,88.366
1,121,88.848
1,122,89.168
1,123,89.522
1,124,89.982
1,125,90.246
1,126,90.446
1,127,90.668
1,128,90.868
1,129,91.056
1,130,91.284
1,131,91.504
1,132,93.272
1,133,93.590
1,134,94.532
1,135,95.132
1,136,96.260
1,137,97.744
1,138,98.548
1,139,99.626
CHECKPOINT,100.000
2,140,100.708
1,141,101.292
2,142,101.890
1,143,103.064
1,144,103.338
1,145,103.774
1,146,104.240
1,147,104.668
1,148,104.998
1,149,105.368
1,150,106.462
1,151,106.878
1,152,107.148
1,153,107.580
1,154,108.790
1,155,109.498
