#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
2,0,0.160
2,1,3.978
2,2,4.366
2,3,5.182
2,4,6.088
2,5,7.148
2,6,10.878
2,7,11.222
2,8,11.956
2,9,13.626
CHECKPOINT,20.000
2,10,25.592
2,11,28.734
2,12,29.746
2,13,33.140
2,14,33.920
2,15,34.586
2,16,35.096
2,17,36.622
2,18,39.164
CHECKPOINT,40.000
2,19,40.556
2,20,41.036
2,21,41.536
2,22,43.130
2,23,43.252
2,24,43.364
2,25,48.690
2,26,48.730
2,27,48.922
2,28,48.958
2,29,48.982
2,30,50.066
2,31,50.314
2,32,54.124
2,33,54.810
2,34,55.088
2,35,56.760
CHECKPOINT,60.000
2,36,64.834
2,37,67.382
2,38,67.630
2,39,67.938
2,40,72.798
2,41,74.758
2,42,76.220
CHECKPOINT,80.000
2,43,86.186
2,44,95.774
2,45,97.522
CHECKPOINT,100.000
2,46,109.064
2,47,113.156
2,48,115.740
2,49,118.874
2,50,119.802
CHECKPOINT,120.000
2,51,120.088
2,52,121.530
2,53,123.306
2,54,125.338
2,55,125.680
2,56,125.998
2,57,126.620
2,58,127.272
2,59,127.484
2,60,127.582
2,61,127.614
2,62,127.646
2,63,127.734
2,64,127.816
2,65,129.788
2,66,131.430
2,67,133.798
2,68,135.372
2,69,137.036
2,70,137.360
2,71,137.392
CHECKPOINT,140.000
2,72,144.772
2,73,148.044
2,74,150.344
2,75,153.842
2,76,157.410
CHECKPOINT,160.000
2,77,162.892
2,78,164.376
2,79,165.696
2,80,166.880
2,81,167.460
2,82,167.478
2,83,167.494
2,84,167.500
2,85,167.510
2,86,167.522
2,87,169.400
2,88,171.078
2,89,171.204
2,90,171.418
2,91,171.436
2,92,177.818
CHECKPOINT,180.000
2,93,180.544
2,94,181.356
2,95,181.940
2,96,182.732
2,97,183.146
2,98,184.070
2,99,184.390
2,100,185.964
2,101,187.460
2,102,190.250
2,103,190.724
2,104,191.650
2,105,193.370
2,106,194.890
1,107,195.366
1,108,196.568
CHECKPOINT,200.000
2,109,200.480
2,110,201.408
2,111,201.872
2,112,202.396
1,113,203.238
2,114,203.802
2,115,203.822
2,116,203.842
2,117,203.860
2,118,203.892
2,119,203.926
2,120,203.998
2,121,205.546
2,122,206.160
2,123,207.120
2,124,208.140
2,125,217.266
2,126,218.828
CHECKPOINT,220.000
2,127,220.394
2,128,223.844
2,129,223.902
2,130,223.980
2,131,224.062
2,132,224.148
2,133,224.228
2,134,224.328
2,135,224.404
2,136,224.460
2,137,225.892
2,138,226.908
2,139,232.132
2,140,233.088
2,141,235.974
2,142,236.758
2,143,238.066
CHECKPOINT,240.000
2,144,240.438
2,145,240.446
2,146,240.456
2,147,240.462
2,148,240.466
2,149,240.472
2,150,240.478
2,151,240.482
2,152,240.488
2,153,240.492
2,154,240.496
2,155,240.502
2,156,240.506
2,157,240.510
2,158,240.512
2,159,240.518
2,160,240.526
2,161,240.532
2,162,240.540
2,163,240.548
2,164,240.554
2,165,240.558
2,166,240.564
2,167,240.568
2,168,240.572
2,169,240.578
2,170,240.586
2,171,240.592
2,172,240.600
2,173,240.608
2,174,240.614
2,175,240.620
2,176,240.624
2,177,240.628
2,178,240.634
2,179,240.642
2,180,240.650
2,181,240.660
2,182,240.668
2,183,240.678
2,184,240.686
2,185,240.692
2,186,240.700
2,187,240.708
2,188,240.716
2,189,240.724
2,190,240.732
2,191,240.740
2,192,240.750
2,193,240.758
2,194,240.768
2,195,240.780
2,196,240.792
2,197,240.802
2,198,240.816
2,199,240.830
2,200,240.838
2,201,240.850
2,202,241.064
2,203,241.156
2,204,241.288
2,205,241.420
2,206,241.622
2,207,244.208
2,208,246.560
2,209,248.188
2,210,248.674
2,211,249.448
2,212,250.062
2,213,253.086
2,214,253.540
2,215,254.110
2,216,254.196
2,217,254.332
2,218,255.080
2,219,257.234
2,220,258.122
2,221,259.292
CHECKPOINT,260.000
2,222,260.654
2,223,261.340
2,224,261.916
2,225,270.178
1,226,271.674
1,227,271.758
1,228,271.842
1,229,273.230
2,230,277.586
2,231,278.816
2,232,279.642
CHECKPOINT,280.000
2,233,280.916
2,234,282.136
2,235,282.326
2,236,282.520
2,237,282.632
2,238,282.826
2,239,282.894
2,240,283.390
2,241,283.496
2,242,283.778
2,243,284.314
2,244,284.760
2,245,285.334
2,246,287.566
2,247,289.200
2,248,289.268
2,249,289.426
2,250,289.730
2,251,290.892
2,252,291.714
2,253,293.066
2,254,294.394
2,255,295.586
2,256,296.736
2,257,297.546
CHECKPOINT,300.000
2,258,304.328
1,259,314.824
2,260,315.664
2,261,318.178
2,262,318.402
CHECKPOINT,320.000
2,263,320.996
2,264,321.688
2,265,323.972
2,266,324.980
2,267,325.098
2,268,325.190
2,269,325.298
2,270,325.440
2,271,325.680
2,272,325.794
2,273,325.956
2,274,326.120
2,275,326.238
2,276,326.324
2,277,326.428
2,278,328.664
2,279,330.522
2,280,331.288
2,281,332.354
2,282,334.452
CHECKPOINT,340.000
1,283,346.288
2,284,356.262
CHECKPOINT,360.000
2,285,364.606
2,286,367.058
2,287,367.648
2,288,370.016
2,289,374.538
2,290,376.000
2,291,378.202
2,292,378.884
CHECKPOINT,380.000
2,293,380.008
2,294,381.304
2,295,388.150
2,296,389.968
2,297,391.314
2,298,395.032
2,299,395.712
2,300,396.304
2,301,396.742
CHECKPOINT,400.000
