#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,0,3.660
1,1,5.256
1,2,5.278
1,3,5.332
1,4,5.378
1,5,5.432
1,6,5.528
1,7,5.684
2,8,7.494
1,9,9.658
1,10,12.122
1,11,13.628
1,12,14.446
1,13,15.262
1,14,15.872
1,15,16.420
1,16,17.020
1,17,18.302
2,18,18.728
1,19,19.168
2,20,19.542
1,21,19.910
CHECKPOINT,20.000
2,22,20.892
2,23,22.526
1,24,23.176
2,25,23.620
2,26,24.540
1,27,26.860
1,28,27.568
1,29,28.672
1,30,29.020
1,31,29.378
1,32,29.708
1,33,29.948
1,34,29.958
1,35,30.076
1,36,30.164
1,37,30.254
1,38,30.344
1,39,30.454
1,40,31.140
1,41,31.724
1,42,31.766
1,43,31.858
1,44,31.944
1,45,32.120
1,46,32.264
1,47,32.582
1,48,32.954
1,49,33.500
1,50,34.268
1,51,34.936
1,52,35.474
1,53,36.094
1,54,36.482
1,55,36.858
1,56,39.468
CHECKPOINT,40.000
1,57,40.000
1,58,40.336
1,59,41.062
1,60,41.838
1,61,42.028
1,62,43.512
1,63,43.682
1,64,43.744
1,65,43.796
1,66,43.846
1,67,43.906
1,68,43.994
1,69,44.088
1,70,44.180
1,71,44.276
1,72,44.366
2,73,44.900
1,74,46.150
1,75,46.956
1,76,49.318
1,77,50.108
1,78,50.900
2,79,52.794
2,80,53.584
2,81,54.626
2,82,54.740
2,83,54.882
2,84,54.964
2,85,56.780
2,86,59.008
2,87,59.834
CHECKPOINT,60.000
2,88,62.578
2,89,63.850
2,90,64.784
2,91,64.886
2,92,64.988
2,93,65.064
2,94,65.140
2,95,65.266
2,96,65.388
2,97,66.188
2,98,66.548
2,99,67.020
2,100,67.222
2,101,67.370
2,102,67.520
2,103,67.676
2,104,67.838
2,105,68.002
2,106,68.152
2,107,68.272
2,108,68.416
2,109,68.548
2,110,68.708
2,111,68.860
2,112,68.988
2,113,69.156
2,114,69.332
2,115,69.508
2,116,69.688
2,117,69.872
2,118,70.190
2,119,71.296
2,120,75.432
2,121,76.046
2,122,76.058
2,123,76.072
2,124,76.084
2,125,76.098
2,126,76.116
2,127,76.134
2,128,76.148
2,129,76.168
2,130,76.194
2,131,76.218
2,132,76.238
2,133,76.252
2,134,76.264
2,135,76.276
2,136,76.550
2,137,76.856
CHECKPOINT,80.000
1,138,80.072
1,139,81.242
2,140,81.788
1,141,83.842
1,142,84.928
1,143,85.732
1,144,86.326
1,145,88.118
2,146,88.550
1,147,89.348
1,148,89.686
1,149,90.024
1,150,90.278
1,151,90.534
1,152,90.914
1,153,91.450
1,154,91.582
1,155,91.740
1,156,93.028
2,157,93.886
2,158,94.266
1,159,96.412
1,160,97.524
1,161,98.470
1,162,98.806
1,163,99.518
CHECKPOINT,100.000
1,164,100.494
1,165,100.638
1,166,100.796
1,167,100.798
1,168,100.804
1,169,100.808
1,170,100.810
1,171,100.814
1,172,100.818
1,173,100.822
1,174,100.830
1,175,101.912
1,176,102.086
1,177,102.216
1,178,102.310
1,179,102.456
1,180,102.634
1,181,102.832
1,182,103.066
1,183,103.262
1,184,103.450
1,185,103.674
1,186,103.932
1,187,104.180
1,188,104.488
1,189,104.824
1,190,105.180
1,191,105.446
1,192,105.766
1,193,106.098
1,194,106.372
1,195,106.640
1,196,106.912
1,197,107.164
1,198,107.606
1,199,107.742
2,200,109.454
1,201,112.040
2,202,113.982
2,203,114.040
2,204,114.204
2,205,114.362
1,206,117.100
1,207,119.122
1,208,119.418
1,209,119.790
CHECKPOINT,120.000
1,210,120.106
2,211,121.708
1,212,124.604
2,213,127.922
2,214,131.096
2,215,131.904
1,216,132.650
1,217,134.064
1,218,134.098
1,219,134.136
1,220,134.152
1,221,134.184
1,222,134.218
2,223,134.996
1,224,135.610
1,225,135.664
1,226,135.716
1,227,137.562
1,228,138.278
1,229,138.932
1,230,139.558
CHECKPOINT,140.000
1,231,140.246
