#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
1,0,0.794
1,1,2.524
1,2,2.984
1,3,3.392
1,4,3.416
1,5,3.446
1,6,4.048
1,7,8.998
1,8,9.590
1,9,10.724
1,10,11.250
1,11,11.606
1,12,12.002
1,13,12.300
1,14,12.520
1,15,12.670
1,16,12.812
1,17,13.100
1,18,13.230
1,19,13.296
1,20,13.370
1,21,13.432
1,22,13.674
1,23,13.978
1,24,14.196
1,25,14.404
1,26,14.508
1,27,14.634
1,28,14.766
1,29,14.874
1,30,14.972
1,31,15.048
1,32,15.458
1,33,15.732
1,34,16.022
1,35,16.408
1,36,16.884
1,37,17.754
1,38,18.732
CHECKPOINT,20.000
1,39,22.084
1,40,24.550
1,41,26.420
1,42,27.138
1,43,27.428
1,44,27.750
1,45,28.344
1,46,28.548
1,47,28.714
1,48,28.926
1,49,30.116
1,50,30.674
1,51,31.288
1,52,32.960
1,53,32.976
1,54,33.004
1,55,34.074
1,56,34.356
1,57,35.586
1,58,36.162
1,59,36.482
1,60,37.070
1,61,37.612
1,62,38.218
1,63,38.974
1,64,39.856
CHECKPOINT,40.000
1,65,40.420
1,66,40.780
1,67,41.526
1,68,42.052
1,69,42.668
2,70,43.528
1,71,45.612
1,72,46.298
1,73,47.038
1,74,47.578
1,75,48.142
1,76,48.348
1,77,49.142
1,78,50.026
1,79,50.964
1,80,54.332
1,81,54.958
1,82,55.910
1,83,56.594
1,84,56.658
1,85,56.696
2,86,58.566
CHECKPOINT,60.000
1,87,60.192
2,88,62.042
1,89,65.158
1,90,65.992
1,91,66.334
1,92,67.268
1,93,69.446
1,94,70.346
1,95,70.746
1,96,71.742
1,97,74.100
1,98,74.766
1,99,75.672
CHECKPOINT,80.000
1,100,80.016
1,101,83.000
2,102,83.958
1,103,85.648
1,104,86.642
1,105,87.374
1,106,87.694
1,107,94.870
1,108,96.652
CHECKPOINT,100.000
1,109,100.828
1,110,104.978
2,111,106.180
1,112,110.514
1,113,112.480
1,114,113.722
1,115,114.212
1,116,115.108
2,117,116.448
1,118,119.050
CHECKPOINT,120.000
1,119,120.260
2,120,121.912
1,121,124.408
1,122,124.556
1,123,124.958
1,124,126.114
1,125,127.028
1,126,129.150
2,127,131.370
1,128,133.710
1,129,134.804
1,130,135.904
1,131,136.896
1,132,137.484
1,133,138.224
1,134,138.870
1,135,139.400
1,136,139.480
1,137,139.590
CHECKPOINT,140.000
1,138,140.992
1,139,142.064
1,140,142.766
1,141,143.964
1,142,144.314
2,143,145.284
1,144,145.910
2,145,146.442
2,146,150.530
1,147,150.972
1,148,152.242
2,149,154.716
1,150,156.210
1,151,156.316
1,152,157.088
1,153,158.110
CHECKPOINT,160.000
2,154,161.664
1,155,162.248
1,156,164.788
1,157,167.468
1,158,167.892
1,159,169.126
2,160,172.064
2,161,172.980
1,162,175.366
1,163,176.434
1,164,178.072
1,165,179.966
CHECKPOINT,180.000
1,166,181.838
1,167,182.724
1,168,184.264
2,169,185.362
2,170,185.372
1,171,186.646
1,172,187.084
1,173,187.542
1,174,188.074
1,175,188.416
1,176,188.874
1,177,189.740
1,178,190.632
1,179,191.242
1,180,191.598
1,181,191.864
1,182,192.394
1,183,192.434
1,184,192.472
1,185,192.502
1,186,192.544
1,187,192.602
1,188,192.662
1,189,192.716
1,190,192.774
1,191,192.812
1,192,192.832
1,193,192.856
1,194,192.878
1,195,192.892
1,196,192.926
1,197,192.982
1,198,193.018
1,199,193.056
1,200,193.084
1,201,193.110
1,202,193.138
1,203,193.170
1,204,193.198
1,205,193.534
1,206,193.858
1,207,194.134
1,208,195.316
1,209,196.596
1,210,197.358
1,211,198.096
1,212,199.266
1,213,199.802
CHECKPOINT,200.000
1,214,200.594
1,215,200.852
1,216,201.622
1,217,206.608
1,218,207.460
1,219,208.164
1,220,209.190
1,221,209.550
1,222,210.140
1,223,210.642
1,224,210.802
1,225,210.828
1,226,210.852
1,227,211.140
1,228,212.376
1,229,213.312
1,230,213.552
1,231,213.770
1,232,214.054
1,233,214.516
1,234,214.862
1,235,215.198
1,236,215.322
1,237,215.536
1,238,215.840
1,239,216.174
1,240,216.452
1,241,216.586
1,242,216.790
1,243,217.036
1,244,217.182
1,245,217.252
1,246,217.516
1,247,217.574
1,248,217.632
1,249,217.684
1,250,217.730
1,251,217.754
1,252,217.774
1,253,217.790
1,254,217.804
1,255,217.816
1,256,217.828
1,257,217.840
1,258,217.852
1,259,217.862
1,260,217.874
1,261,217.888
1,262,217.904
1,263,217.918
1,264,217.932
1,265,217.946
1,266,217.960
1,267,217.972
1,268,217.986
1,269,218.000
1,270,218.020
1,271,218.042
1,272,218.068
1,273,218.092
1,274,218.212
