#"Bounced boundary ID","bounce index","total time (ps)"
CHECKPOINT,0.000
2,0,1.164
2,1,2.782
1,2,3.964
1,3,5.532
1,4,5.982
1,5,6.290
1,6,8.092
2,7,10.340
1,8,13.780
1,9,14.436
1,10,15.182
1,11,15.964
1,12,17.018
1,13,17.512
1,14,18.554
1,15,18.978
1,16,19.354
1,17,19.984
CHECKPOINT,20.000
1,18,22.012
2,19,24.128
2,20,26.026
2,21,28.220
1,22,28.902
1,23,33.946
1,24,36.694
1,25,39.014
1,26,39.358
1,27,39.836
CHECKPOINT,40.000
1,28,43.898
1,29,44.544
1,30,45.262
1,31,45.478
1,32,45.700
1,33,45.900
1,34,46.070
1,35,46.224
1,36,46.478
1,37,47.466
1,38,47.972
1,39,48.776
1,40,48.882
1,41,48.986
1,42,49.114
1,43,49.242
1,44,50.834
1,45,51.138
1,46,51.506
1,47,51.990
1,48,52.426
1,49,53.178
1,50,53.740
1,51,54.300
1,52,56.158
1,53,56.962
CHECKPOINT,60.000
1,54,63.356
1,55,64.400
1,56,65.666
1,57,65.898
1,58,66.510
1,59,68.638
1,60,69.162
1,61,69.396
1,62,69.986
1,63,70.114
1,64,70.216
1,65,70.688
1,66,70.900
1,67,71.142
1,68,71.362
1,69,71.530
1,70,71.726
1,71,71.904
1,72,72.182
1,73,72.626
1,74,73.256
1,75,73.784
1,76,75.158
CHECKPOINT,80.000
1,77,82.898
1,78,86.314
2,79,89.830
2,80,90.372
2,81,92.562
2,82,94.372
2,83,98.614
CHECKPOINT,100.000
2,84,100.880
2,85,103.302
2,86,103.940
2,87,104.286
2,88,104.516
2,89,104.682
2,90,105.408
2,91,105.862
2,92,106.302
2,93,106.878
2,94,107.728
2,95,108.582
2,96,111.594
2,97,111.634
2,98,111.716
2,99,111.810
2,100,111.910
2,101,112.016
2,102,112.124
2,103,112.226
2,104,112.346
2,105,112.476
2,106,112.588
2,107,112.676
2,108,112.770
2,109,112.880
2,110,113.176
2,111,113.830
2,112,114.364
2,113,114.994
2,114,116.262
2,115,119.866
CHECKPOINT,120.000
1,116,121.912
2,117,122.682
1,118,123.796
1,119,128.206
2,120,131.906
2,121,132.584
1,122,137.242
CHECKPOINT,140.000
1,123,149.094
2,124,152.096
1,125,154.212
